id,question,predicted,ground_truth,answer_correct,f1,evidence_retrieved,mu,chi_nli,chi_lexical,chi_entity,chi_combined,rho,coherence,flagged,expected_coherent,explanation
case_00000,What is DNA has a double helix structure?,unknown,unknown,1,1.0,1,0.0457,0.0,1.0,0.0,1.0,0.0457,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is DNA has a double helix structure?"""
case_00001,What is the transformer architecture introduced in 2017?,chemical energy,multiplications but hey,0,0.0,1,0.0514,0.0,1.0,0.0,1.0,0.0514,contradicted,1,1,"Answer ""chemical energy"" contradicts the evidence. The answer contains words (chemical, energy) that do not appear in the evidence at all. Evidence says: ""the transformer architecture introduced in 2017 by vaswani et al revolutionized NLP. its based on self-attention mechanisms that process all tokens in parallel unlike RNNs. BERT GPT and T5 all use transformers. some people argue theyre just really big matrix multiplications but hey it works."""
case_00002,What is da vinci was a renaissance polymath?,about 15 of his paintings,about 15 of his paintings,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0478,coherent,0,1,"Answer ""about 15 of his paintings"" is consistent with the evidence."
case_00003,What is japan is an island nation in?,earthquakes including the 2011 disaster,earthquakes including the 2011 disaster,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0495,coherent,0,1,"Answer ""earthquakes including the 2011 disaster"" is consistent with the evidence."
case_00004,What is databases store organized data.?,model and,model and,1,1.0,1,0.0523,0.0,1.0,0.0,1.0,0.0523,contradicted,1,0,"Answer ""model and"" contradicts the evidence. The answer contains words (model) that do not appear in the evidence at all. Evidence says: ""What is databases store organized data.?"""
case_00005,What is ww2 lasted from 1939 to 1945?,has a weight that,human history,0,0.0,1,0.0475,0.0,1.0,0.0,1.0,0.0475,contradicted,1,1,"Answer ""has a weight that"" contradicts the evidence. The answer contains words (weight, that) that do not appear in the evidence at all. Evidence says: ""ww2 lasted from 1939 to 1945 involving most of the worlds nations. it was the deadliest conflict in human history with 70-85 million casualties. the war ended with the atomic bombings of hiroshima and nagasaki. the united nations was established afterward to prevent future wars."""
case_00006,What is rl is about an agent learning?,nodes called neurons each,nodes called neurons each,1,1.0,1,0.0446,0.0,1.0,0.0,1.0,0.0446,contradicted,1,0,"Answer ""nodes called neurons each"" contradicts the evidence. The answer contains words (nodes, called, neurons) that do not appear in the evidence at all. Evidence says: ""rl is about an agent learning from rewards and punishments in an environment. its how alphago beat the world champion and how robots learn to walk. the exploration vs exploitation tradeoff is central. sometimes you have to try random things to discover better strategies."""
case_00007,What is python and javascript are two of?,fine honestly,them is tiresome just,0,0.0,1,0.0488,0.0,1.0,0.0,1.0,0.0488,contradicted,1,1,"Answer ""fine honestly"" contradicts the evidence. The answer contains words (fine, honestly) that do not appear in the evidence at all. Evidence says: ""python and javascript are two of the most popular programming languages. python dominates data science and ML while javascript rules web development. python uses indentation for blocks javascript uses curly braces. both are dynamically typed interpreted languages. the war between them is tiresome just use the right tool for the job."""
case_00008,What is gradient descent is the workhorse optimization?,hardest part venture,never converge too,0,0.0,1,0.0498,0.0,1.0,0.0,1.0,0.0498,contradicted,1,1,"Answer ""hardest part venture"" contradicts the evidence. The answer contains words (hardest, part, venture) that do not appear in the evidence at all. Evidence says: ""gradient descent is the workhorse optimization algorithm in machine learning. you compute the gradient of the loss function and take steps in the opposite direction. learning rate matters a lot too small and you never converge too large and you diverge. adaM is usually a safe default choice."""
case_00009,What is the Earths lithosphere is divided into?,year driven,year driven,1,1.0,1,0.047,0.0,1.0,0.0,1.0,0.047,contradicted,1,0,"Answer ""year driven"" contradicts the evidence. The answer contains words (year, driven) that do not appear in the evidence at all. Evidence says: ""What is the Earths lithosphere is divided into?"""
