id,question,predicted,ground_truth,answer_correct,f1,evidence_retrieved,mu_before,mu_after,chi_nli,chi_lexical,chi_entity,chi_combined,rho,coherence,flagged,expected_coherent,explanation,fix_type,fix_query,rag_improved
case_00000,What is DNA has a double helix structure?,unknown,unknown,1,1.0,1,0.0457,0.0457,0.0032,1.0,0.0,1.0,0.0457,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is DNA has a double helix structure?""",lexical,unknown,0
case_00001,What is the transformer architecture introduced in 2017?,chemical energy,multiplications but hey,0,0.0,1,0.0514,1.0,0.0111,0.0,0.0,0.0111,0.0514,coherent,0,1,"Answer ""chemical energy"" is consistent with the evidence.",lexical,chemical energy,1
case_00002,What is da vinci was a renaissance polymath?,about 15 of his paintings,about 15 of his paintings,1,1.0,1,1.0,1.0,0.0006,0.0,0.0,0.0006,0.0478,coherent,0,1,"Answer ""about 15 of his paintings"" is consistent with the evidence.",none,,0
case_00003,What is japan is an island nation in?,earthquakes including the 2011 disaster,earthquakes including the 2011 disaster,1,1.0,1,1.0,1.0,0.0001,0.0,0.0,0.0001,0.0495,coherent,0,1,"Answer ""earthquakes including the 2011 disaster"" is consistent with the evidence.",none,,0
case_00004,What is databases store organized data.?,model and,model and,1,1.0,1,0.0523,1.0,0.0022,0.0,0.0,0.0022,0.0523,coherent,0,0,"Answer ""model and"" is consistent with the evidence.",lexical,model,1
case_00005,What is ww2 lasted from 1939 to 1945?,has a weight that,human history,0,0.0,1,0.0475,1.0,0.0019,0.0,0.0,0.0019,0.0475,coherent,0,1,"Answer ""has a weight that"" is consistent with the evidence.",lexical,weight that,1
case_00006,What is rl is about an agent learning?,nodes called neurons each,nodes called neurons each,1,1.0,1,0.0446,1.0,0.0024,0.0,0.0,0.0024,0.0446,coherent,0,0,"Answer ""nodes called neurons each"" is consistent with the evidence.",lexical,nodes called neurons,1
case_00007,What is python and javascript are two of?,fine honestly,them is tiresome just,0,0.0,1,0.0488,1.0,0.0049,0.0,0.0,0.0049,0.0488,coherent,0,1,"Answer ""fine honestly"" is consistent with the evidence.",lexical,fine honestly,1
case_00008,What is gradient descent is the workhorse optimization?,hardest part venture,never converge too,0,0.0,1,0.0498,1.0,0.0022,0.0,0.0,0.0022,0.0498,coherent,0,1,"Answer ""hardest part venture"" is consistent with the evidence.",lexical,hardest part venture,1
case_00009,What is the Earths lithosphere is divided into?,year driven,year driven,1,1.0,1,0.047,1.0,0.0213,0.0,0.0,0.0213,0.047,coherent,0,0,"Answer ""year driven"" is consistent with the evidence.",lexical,year driven,1
case_00010,What is music is a universal human phenomenon?,of relativity his famous,of relativity his famous,1,1.0,1,0.0505,1.0,0.0054,0.0,0.0,0.0054,0.0505,coherent,0,0,"Answer ""of relativity his famous"" is consistent with the evidence.",lexical,relativity his famous,1
case_00011,What is einstein was a theoretical physicist who?,a theoretical physicist,a theoretical physicist,1,1.0,1,1.0,1.0,0.0003,0.0,0.0,0.0003,0.0519,coherent,0,1,"Answer ""a theoretical physicist"" is consistent with the evidence.",none,,0
case_00012,What is serena williams is one of the?,of the greatest tennis players,of the greatest tennis players,1,1.0,1,1.0,1.0,0.0002,0.0,0.0,0.0002,0.0484,coherent,0,1,"Answer ""of the greatest tennis players"" is consistent with the evidence.",none,,0
case_00013,What is the French Revolution began in 1789?,storming of the,storming of the,1,1.0,1,0.0527,1.0,0.0018,0.0,0.0,0.0018,0.0527,coherent,0,0,"Answer ""storming of the"" is consistent with the evidence.",lexical,storming,1
case_00014,What is usain bolt is the fastest human?,particles depending on,the 100m 200m and 4x100m,0,0.0,1,0.0452,0.0452,0.9968,1.0,0.0,1.0,0.0452,contradicted,1,1,"Answer ""particles depending on"" contradicts the evidence. The NLI model finds that 'particles depending on' semantically contradicts the evidence (NLI score: 1.00); The answer contains words (particles, depending) that do not appear in the evidence at all. Evidence says: ""usain bolt is the fastest human ever timed. he holds world records in the 100m 200m and 4x100m relay. from jamaica he won 8 olympic gold medals. his signature celebration is the lightning bolt pose. he retired in 2017 and tried football unsuccessfully.""",nli,particles depending What is usain bolt is the fastest human? particles depending on,0
case_00015,What is most startups fail within the first?,iteration and validated,iteration and validated,1,1.0,1,0.0553,1.0,0.002,0.0,0.0,0.002,0.0553,coherent,0,0,"Answer ""iteration and validated"" is consistent with the evidence.",lexical,iteration validated,1
case_00016,What is coffee is one of the most?,continent it contains 90 percent,continent it contains 90 percent,1,1.0,1,0.0491,1.0,0.001,0.0,0.0,0.001,0.0491,coherent,0,0,"Answer ""continent it contains 90 percent"" is consistent with the evidence.",lexical,continent it contains percent,1
case_00017,What is serena williams is one of the?,in the,in the,1,1.0,1,1.0,1.0,0.0006,0.0,0.0,0.0006,0.0462,coherent,0,1,"Answer ""in the"" is consistent with the evidence.",none,,0
case_00018,What is michael jordan is widely considered the?,and owned the,and owned the,1,1.0,1,1.0,1.0,0.0032,0.0,0.0,0.0032,0.0478,coherent,0,1,"Answer ""and owned the"" is consistent with the evidence.",none,,0
case_00019,What is the cold war was a period?,1989 symbolizing,1989 symbolizing,1,1.0,1,1.0,1.0,0.0054,0.0,0.0,0.0054,0.0505,coherent,0,1,"Answer ""1989 symbolizing"" is consistent with the evidence.",none,,0
case_00020,What is cnns dominated computer vision for years?,the coldest,for years with their,0,0.0,1,0.0493,0.0493,0.7705,1.0,0.0,1.0,0.0493,contradicted,1,1,"Answer ""the coldest"" contradicts the evidence. The NLI model finds that 'the coldest' semantically contradicts the evidence (NLI score: 0.77); The answer contains words (coldest) that do not appear in the evidence at all. Evidence says: ""cnns dominated computer vision for years with their translation equivariance built in through convolutions. but now vision transformers are giving them a run for their money. image classification object detection segmentation are the main tasks. data augmentation is critical for generalization.""",nli,coldest What is cnns dominated computer vision for years? the coldest,0
case_00021,What is neural networks are computing systems vaguely?,she was in a terrible,weight that adjusts,0,0.0,1,0.0469,1.0,0.0009,0.0,0.0,0.0009,0.0469,coherent,0,1,"Answer ""she was in a terrible"" is consistent with the evidence.",lexical,she terrible,1
case_00022,What is DNA has a double helix structure?,xray crystallography data from Rosalind,xray crystallography data from Rosalind,1,1.0,1,0.0452,0.0505,0.0042,0.0,1.0,1.0,0.0452,contradicted,1,0,"Answer ""xray crystallography data from Rosalind"" contradicts the evidence. Key names or terms (rosalind) found in the answer are missing from the evidence. Evidence says: ""DNA has a double helix structure discovered by watson and crick in 1953 based on xray crystallography data from Rosalind Franklin.""",entity,xray crystallography data rosalind rosalind,0
case_00023,What is evolution by natural selection was proposed?,torvalds in 1991 it powers,by charles,0,0.0,1,0.0482,1.0,0.0249,0.0,0.0,0.0249,0.0482,coherent,0,1,"Answer ""torvalds in 1991 it powers"" is consistent with the evidence.",lexical,torvalds it powers,1
case_00024,What is cats and dogs are the two?,users its basically a series,are the two most popular,0,0.0,1,0.0465,0.0467,0.9861,0.0,0.0,0.9861,0.0465,contradicted,1,1,"Answer ""users its basically a series"" contradicts the evidence. The NLI model finds that 'users its basically a series' semantically contradicts the evidence (NLI score: 0.99). Evidence says: ""the internet started as ARPANET a US military project in the 1960s. tim bernerslee invented the world wide web in 1989. now theres like 5 billion users. its basically a series of tubes filled with cat videos and arguments. net neutrality is a recurring political issue.""",nli,users its basically series What is cats and dogs are the two? users its basically a series,0
case_00025,What is frida kahlo was a mexican painter?,temperature has,a teenager that left her,0,0.0,1,0.0521,1.0,0.0017,0.0,0.0,0.0017,0.0521,coherent,0,1,"Answer ""temperature has"" is consistent with the evidence.",lexical,temperature,1
case_00026,What is Photosynthesis is how plants convert sunlight?,unknown,unknown,1,1.0,1,0.0499,0.0499,0.0026,1.0,0.0,1.0,0.0499,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is Photosynthesis is how plants convert sunlight?""",lexical,unknown,0
case_00027,What is neural networks are computing systems vaguely?,biological brains they consist of,biological brains they consist of,1,1.0,1,0.2402,0.2402,0.1929,0.0,0.0,0.1929,0.0464,weak,0,1,"Answer ""biological brains they consist of"" is consistent with the evidence.",none,,0
case_00028,What is antarctica is the coldest driest and?,its peak stretched,its peak stretched,1,1.0,1,0.0763,1.0,0.0033,0.0,0.0,0.0033,0.0509,coherent,0,0,"Answer ""its peak stretched"" is consistent with the evidence.",lexical,its peak stretched,1
case_00029,What is pizza originated in naples italy as?,7-9 hours,7-9 hours,1,1.0,1,0.0515,1.0,0.0023,0.0,0.0,0.0023,0.0515,coherent,0,0,"Answer ""7-9 hours"" is consistent with the evidence.",lexical,hours,1
case_00030,What is frida kahlo was a mexican painter?,in pain her,in pain her,1,1.0,1,0.0506,1.0,0.002,0.0,0.0,0.002,0.0506,coherent,0,0,"Answer ""in pain her"" is consistent with the evidence.",lexical,pain her,1
case_00031,What is einstein was a theoretical physicist who?,largest country in south america,nobel prize for,0,0.0,1,0.0495,0.0495,0.9992,1.0,0.0,1.0,0.0495,contradicted,1,1,"Answer ""largest country in south america"" contradicts the evidence. The NLI model finds that 'largest country in south america' semantically contradicts the evidence (NLI score: 1.00); The answer contains words (largest, country, south, america) that do not appear in the evidence at all. Evidence says: ""einstein was a theoretical physicist who developed the theory of relativity. his famous equation E=mc^2 shows mass and energy are equivalent. he won the nobel prize for the photoelectric effect not relativity. he was a pacifist and jewish refugee who fled nazi germany to the US.""",nli,largest country south america What is einstein was a theoretical physicist who? largest country in south america,0
case_00032,What is quantum mechanics describes nature at the?,particles depending on how you,particles depending on how you,1,1.0,1,1.0,1.0,0.0024,0.0,0.0,0.0024,0.049,coherent,0,1,"Answer ""particles depending on how you"" is consistent with the evidence.",none,,0
case_00033,What is adults need 7-9 hours of sleep?,when the brain clears,when the brain clears,1,1.0,1,0.0449,1.0,0.0101,0.0,0.0,0.0101,0.0449,coherent,0,0,"Answer ""when the brain clears"" is consistent with the evidence.",lexical,brain clears,1
case_00034,What is alan turing was a mathematician and?,punishments in an environment its,he cracked the,0,0.0,1,0.0508,1.0,0.0058,0.0,0.0,0.0058,0.0508,coherent,0,1,"Answer ""punishments in an environment its"" is consistent with the evidence.",lexical,punishments environment its,1
case_00035,What is michael jordan is widely considered the?,also tried,also tried,1,1.0,1,0.4555,0.4555,0.1061,0.0,0.0,0.1061,0.0484,coherent,0,1,"Answer ""also tried"" is consistent with the evidence.",none,,0
case_00036,What is the internet started as ARPANET a?,as ARPANET a US,as ARPANET a US,1,1.0,1,1.0,1.0,0.0002,0.0,0.0,0.0002,0.0488,coherent,0,1,"Answer ""as ARPANET a US"" is consistent with the evidence.",none,,0
case_00037,What is the roman empire at its peak?,civilization the fall was caused,civilization the fall was caused,1,1.0,1,1.0,1.0,0.0004,0.0,0.0,0.0004,0.0487,coherent,0,1,"Answer ""civilization the fall was caused"" is consistent with the evidence.",none,,0
case_00038,What is brazil is the largest country in?,its carnival,its carnival,1,1.0,1,0.0505,1.0,0.0044,0.0,0.0,0.0044,0.0505,coherent,0,0,"Answer ""its carnival"" is consistent with the evidence.",lexical,its carnival,1
case_00039,What is cryptography is the practice of secure?,of secure communication,of secure communication,1,1.0,1,1.0,1.0,0.0002,0.0,0.0,0.0002,0.0482,coherent,0,1,"Answer ""of secure communication"" is consistent with the evidence.",none,,0
case_00040,What is the moon is earths only natural?,instruments streaming has,theres overwhelming,0,0.0,1,0.0498,1.0,0.0136,0.0,0.0,0.0136,0.0498,coherent,0,1,"Answer ""instruments streaming has"" is consistent with the evidence.",lexical,instruments streaming,1
case_00041,What is gradient descent is the workhorse optimization?,take steps,take steps,1,1.0,1,0.4437,0.4437,0.1158,0.0,0.0,0.1158,0.0514,coherent,0,1,"Answer ""take steps"" is consistent with the evidence.",none,,0
case_00042,What is blockchain is a distributed ledger technology?,hash of the previous,hash of the previous,1,1.0,1,1.0,1.0,0.0005,0.0,0.0,0.0005,0.0456,coherent,0,1,"Answer ""hash of the previous"" is consistent with the evidence.",none,,0
case_00043,What is cooking is both an art and?,and flavor development when,and flavor development when,1,1.0,1,1.0,1.0,0.0031,0.0,0.0,0.0031,0.0509,coherent,0,1,"Answer ""and flavor development when"" is consistent with the evidence.",none,,0
case_00044,What is adults need 7-9 hours of sleep?,internets servers android phones and,internets servers android phones and,1,1.0,1,0.0466,1.0,0.001,0.0,0.0,0.001,0.0466,coherent,0,0,"Answer ""internets servers android phones and"" is consistent with the evidence.",lexical,internets servers android phones,1
case_00045,What is the industrial revolution started in britain?,terrible at,terrible at,1,1.0,1,0.057,1.0,0.0071,0.0,0.0,0.0071,0.057,coherent,0,0,"Answer ""terrible at"" is consistent with the evidence.",lexical,terrible,1
case_00046,What is the earths average temperature has risen?,in 1789,more extreme weather,0,0.0,1,1.0,1.0,0.0013,0.0,0.0,0.0013,0.0496,coherent,0,1,"Answer ""in 1789"" is consistent with the evidence.",none,,0
case_00047,What is evolution by natural selection was proposed?,uses indentation for,uses indentation for,1,1.0,1,0.0452,1.0,0.0034,0.0,0.0,0.0034,0.0452,coherent,0,0,"Answer ""uses indentation for"" is consistent with the evidence.",lexical,uses indentation,1
case_00048,What is marie curie was a physicist and?,and energy,and energy,1,1.0,1,0.051,1.0,0.0013,0.0,0.0,0.0013,0.051,coherent,0,0,"Answer ""and energy"" is consistent with the evidence.",lexical,energy,1
case_00049,What is linux is a free open source?,vaswani et al revolutionized,vaswani et al revolutionized,1,1.0,1,0.0542,1.0,0.0014,0.0,0.0,0.0014,0.0542,coherent,0,0,"Answer ""vaswani et al revolutionized"" is consistent with the evidence.",lexical,vaswani et al revolutionized,1
case_00050,What is the Earths lithosphere is divided into?,centimeters per year,centimeters per year,1,1.0,1,0.0496,0.5481,0.0953,0.0,0.0,0.0953,0.0496,coherent,0,0,"Answer ""centimeters per year"" is consistent with the evidence.",lexical,centimeters per year,1
case_00051,What is alan turing was a mathematician and?,to discover better,to discover better,1,1.0,1,0.045,0.2067,0.2255,0.0,0.0,0.2255,0.045,weak,0,0,"Answer ""to discover better"" is consistent with the evidence.",lexical,discover better,0
case_00052,What is DNA has a double helix structure?,T C G A,T C G A,1,1.0,1,0.0472,1.0,0.0042,0.0,0.0,0.0042,0.0472,coherent,0,0,"Answer ""T C G A"" is consistent with the evidence.",lexical,t c g,1
case_00053,What is the transformer architecture introduced in 2017?,unknown,unknown,1,1.0,1,0.0522,0.0522,0.0038,1.0,0.0,1.0,0.0522,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is the transformer architecture introduced in 2017?""",lexical,unknown,0
case_00054,What is da vinci was a renaissance polymath?,einstein was,and scientist hes most,0,0.0,1,0.0508,1.0,0.0013,0.0,0.0,0.0013,0.0508,coherent,0,1,"Answer ""einstein was"" is consistent with the evidence.",lexical,einstein,1
case_00055,What is japan is an island nation in?,her sister venus,country experiences frequent earthquakes including,0,0.0,1,0.0465,1.0,0.0008,0.0,0.0,0.0008,0.0465,coherent,0,1,"Answer ""her sister venus"" is consistent with the evidence.",lexical,her sister venus,1
case_00056,What is databases store organized data.?,and access,and access,1,1.0,1,1.0,1.0,0.0018,0.0,0.0,0.0018,0.0517,coherent,0,1,"Answer ""and access"" is consistent with the evidence.",none,,0
case_00057,What is ww2 lasted from 1939 to 1945?,nations was established afterward,nations was established afterward,1,1.0,1,0.0483,1.0,0.018,0.0,0.0,0.018,0.0483,coherent,0,0,"Answer ""nations was established afterward"" is consistent with the evidence.",lexical,nations established afterward,1
case_00058,What is rl is about an agent learning?,computer vision for,learn to walk the,0,0.0,1,0.0454,1.0,0.0035,0.0,0.0,0.0035,0.0454,coherent,0,1,"Answer ""computer vision for"" is consistent with the evidence.",lexical,computer vision,1
case_00059,What is python and javascript are two of?,python uses,python uses,1,1.0,1,0.1022,0.1022,0.0122,0.5,0.0,0.5,0.0511,weak,0,0,"Answer ""python uses"" contradicts the evidence. The answer contains words (uses) that do not appear in the evidence at all. Evidence says: ""What is python and javascript are two of?""",none,,0
case_00060,What is gradient descent is the workhorse optimization?,is usually a,is usually a,1,1.0,1,1.0,1.0,0.0066,0.0,0.0,0.0066,0.0481,coherent,0,1,"Answer ""is usually a"" is consistent with the evidence.",none,,0
case_00061,What is the Earths lithosphere is divided into?,year driven by mantle convection,year driven by mantle convection,1,1.0,1,1.0,1.0,0.0049,0.0,0.0,0.0049,0.0523,coherent,0,1,"Answer ""year driven by mantle convection"" is consistent with the evidence.",none,,0
case_00062,What is music is a universal human phenomenon?,won 6 NBA,is a universal human phenomenon,0,0.0,1,0.049,1.0,0.0033,0.0,0.0,0.0033,0.049,coherent,0,1,"Answer ""won 6 NBA"" is consistent with the evidence.",entity,won nba nba,1
case_00063,What is einstein was a theoretical physicist who?,equation Emc2 shows mass,equation Emc2 shows mass,1,1.0,1,1.0,1.0,0.0236,0.0,0.0,0.0236,0.0517,coherent,0,1,"Answer ""equation Emc2 shows mass"" is consistent with the evidence.",none,,0
case_00064,What is serena williams is one of the?,singles titles the,singles titles the,1,1.0,1,0.0497,1.0,0.0075,0.0,0.0,0.0075,0.0497,coherent,0,0,"Answer ""singles titles the"" is consistent with the evidence.",lexical,singles titles,1
case_00065,What is the French Revolution began in 1789?,reign of,reign of,1,1.0,1,1.0,1.0,0.0007,0.0,0.0,0.0007,0.0485,coherent,0,1,"Answer ""reign of"" is consistent with the evidence.",none,,0
case_00066,What is usain bolt is the fastest human?,in the 100m,in the 100m,1,1.0,1,1.0,1.0,0.0152,0.0,0.0,0.0152,0.0515,coherent,0,0,"Answer ""in the 100m"" is consistent with the evidence.",none,,0
case_00067,What is most startups fail within the first?,unknown,unknown,1,1.0,1,0.0555,0.0555,0.0029,1.0,0.0,1.0,0.0555,contradicted,1,0,"Answer ""unknown"" contradicts the evidence. The answer contains words (unknown) that do not appear in the evidence at all. Evidence says: ""What is most startups fail within the first?""",lexical,unknown,0
case_00068,What is coffee is one of the most?,depends on,depends on,1,1.0,1,0.0473,1.0,0.0011,0.0,0.0,0.0011,0.0473,coherent,0,0,"Answer ""depends on"" is consistent with the evidence.",lexical,depends,1
case_00069,What is serena williams is one of the?,singles titles the most,singles titles the most,1,1.0,1,1.0,1.0,0.0005,0.0,0.0,0.0005,0.0484,coherent,0,1,"Answer ""singles titles the most"" is consistent with the evidence.",none,,0
case_00070,What is michael jordan is widely considered the?,his airness was known,his airness was known,1,1.0,1,0.0468,1.0,0.0102,0.0,0.0,0.0102,0.0468,coherent,0,0,"Answer ""his airness was known"" is consistent with the evidence.",lexical,his airness known,1
case_00071,What is the cold war was a period?,mechanics describes nature at,1947 to,0,0.0,1,0.0503,0.546,0.0868,0.0,0.0,0.0868,0.0503,coherent,0,1,"Answer ""mechanics describes nature at"" is consistent with the evidence.",lexical,mechanics describes nature,1
case_00072,What is cnns dominated computer vision for years?,computer vision for years,computer vision for years,1,1.0,1,1.0,1.0,0.0014,0.0,0.0,0.0014,0.0476,coherent,0,1,"Answer ""computer vision for years"" is consistent with the evidence.",none,,0
case_00073,What is neural networks are computing systems vaguely?,consist of layers of interconnected,consist of layers of interconnected,1,0.8,1,1.0,1.0,0.0003,0.0,0.0,0.0003,0.0506,coherent,0,1,"Answer ""consist of layers of interconnected"" is consistent with the evidence.",none,,0
case_00074,What is DNA has a double helix structure?,and consolidates memories chronic sleep,made of,0,0.0,1,0.0491,1.0,0.0012,0.0,0.0,0.0012,0.0491,coherent,0,1,"Answer ""and consolidates memories chronic sleep"" is consistent with the evidence.",lexical,consolidates memories chronic sleep,1
